Wrong,Replacement,possible problem
Ecinocereus viridiflorus,Echinocereus viridiflorus,
Elymus alaskanus ssp. latiglumis (Scribn. & J.G. Sm.) A. Löve,Elymus alaskanus ssp. latiglumis,remove author name?
Elymus elymoides var. elymoides,,"contains ""var."" - remove var. ?"
Elymus glaucus var. glaucus,,"contains ""var."" - remove var. ?"
Elymus hispidus var. hispidus,,"contains ""var."" - remove var. ?"
Elymus lanceolatus ssp. riparius,,"""ssp."" - need further review"
Elymus trachycaulus ssp.trachycaulus,,remove ssp. ?
Elymus trachycaulus var. trachycaulus,,"contains ""var."" - remove var. ?"
Epilobium ciliatum var. ciliatum,,"contains ""var."" - remove var. ?"
Epilobium hornemannii var. hornemannii,,"contains ""var."" - remove var. ?"
Epilobium subdentatum,,GOOD - according to my search
Ericameria linearis,Ericameria discoidea var. linearis,"now contains ""var."""
Ericameria nauseosa var. nauseosa,,"contains ""var."" - remove var. ?"
Ericameria nauseosa var. oreophila,,"contains ""var."""
Erigeron acris var. kamschaticus,,"contains ""var."""
Erigeron brandegii,Erigeron brandegeei,
Erigeron glacialis var. glacialis,,"contains ""var."" - remove var. ?"
Erigeron leiomeris,Erigeron leiomerus,
Erigeron peregrinus var. callianthemus,,"contains ""var."""
Erigeron subtrinervus,Erigeron subtrinervis,
Eriogonum arcuatum var. xanthum,,"contains ""var."""
Eriogonum flavum var. chloranthum,,"contains ""var."""
Eriophorum angustifoluim ssp. scabriusculum,,"""ssp."" - need further review"
Eriophorum anugustifolium,Eriophorum angustifolium,
Eriophorum chamossonis,Eriophorum chamissonis,
Eritrichium elongatum var. argenteum,,"contains ""var."""
Eritrichium elongatum var. argentum,,"contains ""var."""
Erysimum capitatum ssp. capitatum,,remove ssp. ?
Erysimum capitatum var. nivale,,"contains ""var."""
Erythronium grandiflorum var. grandiflorum,,"contains ""var."" - remove var. ?"
Festuca ovina var. ovina,,"contains ""var."" - remove var. ?"
Festuca saximontana purpusiana,,"double specific epithet (ssp?, var?)"
Gaillardia Pinatifida,Gaillardia pinatifida,specific epithet capitalized
Galium trifidum var. trifidum,,"contains ""var."" - remove var. ?"
Gastrolychnis hitchguirei,NA,
