"Family.Name","scientificName"
"207","Cyperaceae","Carex vernacula"
"212","Asteraceae","Chaenactis leucopsis"
"213","Pteridaceae","Cryptogramma acrostichoides"
"215","Rosaceae","Dasiphora fruticosa"
"216","Poaceae","Elymus glaucus"
"217","Asteraceae","Erigeron simplex"
"218","Asteraceae","Erigeron elatior"
"219","Asteraceae","Erigeron formosissimus"
"220","Asteraceae","Erigeron melanocephalus"
"221","Asteraceae","Erigeron peregrinus var. callianthemus"
"222","Poaceae","Festuca brachyphylla ssp. brachyphylla"
"223","Asteraceae","Helianthella quinquenervis"
"224","Gentianaceae","Gentiana algida"
"227","Gentianaceae","Gentiana prostrata"
"229","Fabaceae","Hedysarum boreale"
"230","Asteraceae","Hymenoxys hoopesii"
"231","Juncaceae","Juncus hallii"
"232","Juncaceae","Juncus parryi"
"233","Juncaceae","Juncus triglumis"
"234","Orchidaceae","Listera cordata"
"235","Liliaceae","Lloydia serotina"
"240","Asteraceae","Machaeranthera coloradoensis var. coloradoensis"
"241","Caryophyllaceae","Minuartia obtusiloba"
"243","Scrophulariaceae","Mimulus guttatus"
"244","Pyrolaceae","Moneses uniflora"
"245","Asteraceae","Oreochrysum parryi"
"246","Hydrophyllaceae","Phacelia sericea"
"247","Scrophulariaceae","Pedicularis groenlandica"
"248","Scrophulariaceae","Pedicularis sudetica ssp. scopulorum"
"249","Boraginaceae","Phacelia bakeri"
"250","Apiaceae","Podistera eastwoodiae"
"253","Crassulaceae","Rhodiola integrifolia"
"254","Crassulaceae","Rhodiola rhodantha"
"256","Grossulariaceae","Ribes inerme"
"257","Grossulariaceae","Ribes wolfii"
"258","Brassicaceae","Rorippa palustris ssp. hispida"
"262","Saxifragaceae","Saxifraga debilis"
"264","Saxifragaceae","Saxifraga odontoloma"
"265","Saxifragaceae","Saxifraga rhomboidea"
"266","Saxifragaceae","Saxifraga rivularis"
"267","Asteraceae","Senecio amplectens"
"268","Asteraceae","Senecio dimorphophyllus var. dimorphophyllus"
"272","Asteraceae","Senecio fremontii var. fremontii"
"273","Asteraceae","Solidago simplex var. nana"
"274","Gentianaceae","Swertia perennis"
"276","Ranunculaceae","Trollius laxus ssp. albiflorus"
"279","Liliaceae","Zigadenus elegans"
"280","Pyrolaceae","Pyrola minor"
"281","Ranunculaceae","Ranunculus alismifolius"
"282","Ranunculaceae","Ranunculus macauleyi"
"285","Brassicaceae","Erysimum capitatum"
"286","Liliaceae","Erythronium grandiflorum"
"287","Polygonaceae","Oxyria digyna"
"288","Pyrolaceae","Orthilia secunda"
"289","Fabaceae","Oxytropis deflexa var. deflexa"
"290","Onagraceae","Epilobium hornemannii"
"292","Asteraceae","Cirsium scariosum"
"293","Asteraceae","Cirsium scopulorum"
"296","Scrophulariaceae","Castilleja occidentalis"
"297","Scrophulariaceae","Castilleja rhexiifolia"
"299","Salicaceae","Salix glauca"
"300","Salicaceae","Salix petrophila"
"302","Scrophulariaceae","Veronica serpyllifolia"
"303","Scrophulariaceae","Veronica wormskjoldii"
"304","Ranunculaceae","Thalictrum fendleri"
"308","Fabaceae","Trifolium parryi"
"309","Rosaceae","Potentilla diversifolia"
"311","Rosaceae","Potentilla uniflora"
"313","Caryophyllaceae","Silene scouleri ssp. hallii"
"314","Brassicaceae","Smelowskia calycina"
"316","Brassicaceae","Smelowskia calycina var. americana"
"317","Apocynaceae","Apocynum androsaemifolium"
"318","Brassicaceae","Arabis demissa var. demissa"
"319","Brassicaceae","Arabis glabra"
"320","Ericaceae","Arctostaphylos uva-ursi"
"321","Scrophulariaceae","Penstemon harbourii"
"325","Geraniaceae","Geranium caespitosum var. parryi"
"326","Geraniaceae","Geranium richardsonii"
"328","Polemoniaceae","Gilia pinnatifida"
"329","Portulacaceae","Lewisia pygmaea"
"331","Fabaceae","Astragalus alpinus var. alpinus"
"332","Polemoniaceae","Phlox condensata"
"334","Poaceae","Calamagrostis canadensis"
"335","Poaceae","Calamagrostis purpurascens"
"336","Poaceae","Calamagrostis stricta ssp. stricta"
"337","Brassicaceae","Draba aurea"
"339","Brassicaceae","Draba fladnizensis var. pattersonii"
"341","Brassicaceae","Draba rectifructa"
"342","Brassicaceae","Draba spectabilis"
"343","Poaceae","Festuca saximontana var. saximontana"
"344","Poaceae","Poa arctica"
"345","Poaceae","Poa compressa"
"346","Poaceae","Poa fendleriana"
"347","Poaceae","Poa leptocoma"
"348","Poaceae","Poa reflexa"
"350","Rosaceae","Amelanchier alnifolia"
"351","Asteraceae","Heterotheca villosa"
"352","Saxifragaceae","Heuchera parviflora"
"356","Asteraceae","Hieracium gracile var. gracile"
"357","Hippuridaceae","Hippuris vulgaris"
"358","Boraginaceae","Mertensia lanceolata"
"359","Caryophyllaceae","Minuartia rubella"
"364","Asteraceae","Packera crocata"
"366","Asteraceae","Senecio fremontii var. blitoides"
"367","Cyperaceae","Carex stevenii"
"368","Cyperaceae","Carex scopulorum var. bracteosa"
"369","Rosaceae","Potentilla concinna"
"370","Caryophyllaceae","Arenaria lanuginosa ssp. saxosa"
"374","Juncaceae","Juncus mertensianus"
"375","Poaceae","Festuca thurberi"
"378","Scrophulariaceae","Castilleja miniata"
"381","Asteraceae","Erigeron peregrinus ssp. callianthemus"
"382","Juncaceae","Juncus drummondii"
"383","Brassicaceae","Draba crassifolia"
"385","Polemoniaceae","Polemonium pulcherrimum ssp. pulcherrimum"
"388","Poaceae","Poa secunda"
"389","Liliaceae","Allium geyeri"
"390","Juncaceae","Luzula subcapitata"
"391","Caryophyllaceae","Silene scouleri"
"395","Cyperaceae","Carex aquatilis"
"396","Brassicaceae","Thlaspi montanum"
"398","Cyperaceae","Carex scopulorum var. scopulorum"
"399","Brassicaceae","Arabis drummondii"
"408","Asteraceae","Senecio soldanella"
"409","Asteraceae","Packera porteri"
"410","Campanulaceae","Campanula uniflora"
"411","Brassicaceae","Draba streptobrachia"
"412","Asteraceae","Tonestus pygmaeus"
"414","Asteraceae","Senecio amplectens var. holmii"
"418","Cyperaceae","Kobresia myosurioides"
"419","Cyperaceae","Carex capitata"
"421","Rosaceae","Potentilla subjuga"
"423","Scrophulariaceae","Chionophila jamesii"
"424","Caryophyllaceae","Minuartia micrantha"
"428","Ranunculaceae","Ranunculus eschscholtzii"
"429","Saxifragaceae","Mitella stauropetala var. stenopetala"
"441","Brassicaceae","Draba graminea"
"442","Poaceae","Elymus alaskanus ssp. latiglumis (Scribn. & J.G. Sm.) A. Löve"
"443","Onagraceae","Chamerion latifolium"
"447","Cyperaceae","Carex perglobosa"
"448","Cyperaceae","Carex arapahoensis"
"449","Saxifragaceae","Saxifraga caespitosa"
"453","Cyperaceae","Carex nardina"
"454","Apiaceae","Lomatium graveolens var. alpinum"
"457","Brassicaceae","Rorippa palustris"
"458","Hydrophyllaceae","Phacelia heterophylla"
"459","Asteraceae","Packera fendleri"
"461","Rosaceae","Potentilla hippiana"
"465","Cyperaceae","Carex capillaris"
"467","Juncaceae","Juncus castaneus"
"468","Cyperaceae","Carex rossii"
"469","Cyperaceae","Carex aurea"
"470","Poaceae","Agrostis humilis"
"473","Juncaceae","Juncus saximontanus"
"474","Brassicaceae","Draba spectabilis var. oxyloba"
"475","Onagraceae","Epilobium saximontanum"
"477","Asteraceae","Agoseris glauca var. laciniata"
"478","Dryopteridaceae","Dryopteris filix-mas"
"479","Ranunculaceae","Trautvetteria caroliniensis"
"480","Asteraceae","Achillea millefolium var. lanulosa"
"481","Orchidaceae","Platanthera sparsiflora"
"485","Crassulaceae","Sedum lanceolatum"
"486","Scrophulariaceae","Pedicularis parryi"
"489","Poaceae","Phleum alpinum"
"492","Violaceae","Viola labradorica"
"499","Salicaceae","Salix nivalis"
"509","Boraginaceae","Mertensia ciliata"
"513","Caprifoliaceae","Lonicera involucrata"
"521","Primulaceae","Primula parryi"
"523","Apiaceae","Cymopterus bakeri"
"524","Asteraceae","Hymenoxys brandegeei"
"526","Scrophulariaceae","Castilleja haydenii"
"532","Poaceae","Festuca saximontana"
"538","Asteraceae","Machaeranthera aspera"
"539","Asteraceae","Machaeranthera bigelovii"
"544","Plantaginaceae","Veronica wormskjoldii"
"550","Boraginaceae","Eritrichium nanum var. elongatum"
"551","Caryophyllaceae","Stellaria irrigua"
"552","Caryophyllaceae","Minuartia macrantha"
"555","Nymphaeaceae","Nuphar luteum ssp. polysepalum"
"559","Cyperaceae","Carex heteroneura var. chalciolepis"
"562","Cyperaceae","Carex lachenalii"
"563","Cyperaceae","Carex obtusata"
"565","Cyperaceae","Carex praeceptorium"
"566","Cyperaceae","Carex micropoda"
"567","Cyperaceae","Carex rupestris ssp. drummondiana"
"572","Poaceae","Deschampsia cespitosa"
"574","Poaceae","Festuca minutiflora"
"579","Poaceae","Alopecurus aequalis"
"580","Poaceae","Bromus polyanthus"
"582","Poaceae","Phippsia algida"
"583","Brassicaceae","Braya humilis ssp. ventosa"
"585","Asteraceae","Erigeron coulteri"
"586","Asteraceae","Erigeron pinnatisectus"
"588","Asteraceae","Ericameria discoidea"
"595","Salicaceae","Salix drummondiana"
"596","Salicaceae","Salix planifolia ssp. planifolia"
"597","Asteraceae","Antennaria Alpina"
"598","Asteraceae","Antennaria Corymbosa"
"601","Valerianaceae","Valeriana acutiloba var. pubicarpa"
"603","Fabaceae","Lupinus argenteus"
"604","Rosaceae","Dryas octopetala"
"605","Gentianaceae","Frasera speciosa"
"607","Cyperaceae","Eleocharis quinqueflora"
"608","Saxifragaceae","Saxifraga oregana"
"609","Rosaceae","Potentilla fruticosa"
"612","Caryophyllaceae","Silene acaulis"
"615","Asteraceae","Cirsium parryi"
"617","Asteraceae","Erigeron eximius"
"618","Asteraceae","Cirsium arvense"
"619","Asteraceae","Senecio serra var. admirabilis"
"620","Poaceae","Elymus lanceolatus"
"621","Asteraceae","Anaphalis margaritacea"
"622","Ranunculaceae","Actaea rubra"
"628","Ranunculaceae","Anemone multifida"
"629","Fabaceae","Lathyrus lanszwertii var. leucanthus"
"632","Ranunculaceae","Anemone narcissiflora"
"648","Rosaceae","Potentilla nivea"
"650","Salicaceae","Salix arctica"
"654","Portulacaceae","Claytonia lanceolata"
"661","Saxifragaceae","Saxifraga bronchialis ssp. austromontana"
"662","Unknown dicot","Unknown Dicot"
"684","Unknown monocot","Unknown Monocot"
"698","Apiaceae","Osmorhiza obtusa"
"699","Asteraceae","Antennaria concinna"
"700","Asteraceae","Arnica latifolia"
"702","Asteraceae","Arnica rydbergii"
"703","Asteraceae","Erigeron brandegii"
"705","Gentianaceae","Gentiana heterosepala"
"706","Polygonaceae","Polygonum montanum"
"710","Asteraceae","Artemisia norvegica"
"715","Asteraceae","Senecio carthamoides"
"716","Asteraceae","Senecio harbourii"
"717","Asteraceae","Senecio saxosus"
"720","Brassicaceae","Erysimum capitatum ssp. capitatum"
"721","Brassicaceae","Rorippa obtusa"
"723","Caryophyllaceae","Arenaria obtusiloba"
"724","Caryophyllaceae","Cerastium arvense"
"728","Ericaceae","Vaccinium scoparium"
"729","Fabaceae","Oxytropis vicida"
"733","Potamogetonaceae","Potamogeton filiformis"
"734","Poaceae","Festuca ovina"
"736","Polemoniaceae","Ipomopsis globularis"
"738","Ranunculaceae","Anemone zephyra"
"741","Salicaceae","Salix planifolia var. monica"
"742","Scrophulariaceae","Penstemon virens"
"743","Asteraceae","Aster alpinus"
"744","Saxifragaceae","Saxifraga montanensis"
"745","Asteraceae","Artemisia spithamaea"
"746","Apiaceae","Aletes anisatus"
"749","Cyperaceae","Carex nelsonii"
"752","Scrophulariaceae","Penstemon crandallii ssp. procumbens"
"756","Asteraceae","Senecio fremontii"
"757","Rosaceae","Sorbus scopulina"
"759","Ranunculaceae","Thalictrum alpinum"
"762","Rosaceae","Dryas octopetala ssp. hookeriana"
"763","Poaceae","Festuca brachyphylla"
"764","Scrophulariaceae","Pedicularis paysoniana"
"765","Caryophyllaceae","Arenaria macrantha"
"766","Poaceae","Helictotrichon hookeri"
"768","Poaceae","Festuca idahoensis"
"769","Liliaceae","Smilacina stellata"
"776","Gentianaceae","Gentianella amarella"
"777","Poaceae","Trisetum spicatum ssp. majus"
"779","Asteraceae","Erigeron leiomerus"
"780","Brassicaceae","Draba oligosperma"
"781","Poaceae","Festuca baffinensis"
"782","Saxifragaceae","Saxifraga cernua"
"788","Hydrophyllaceae","Hydrophyllum capitatum"
"793","Ranunculaceae","Ranunculus inamoenus"
"795","Asteraceae","Arnica cordifolia"
"800","Liliaceae","Smilacina amplexicaulis"
"804","Scrophulariaceae","Besseya alpina"
"805","Ranunculaceae","Delphinium nuttallianum"
"806","Ranunculaceae","Ranunculus adoneus"
"807","Primulaceae","Primula angustifolia"
"808","Violaceae","Viola adunca ssp. bellidifolia"
"810","Scrophulariaceae","Castilleja rhexifolia"
"814","Gentianaceae","Gentiana aquatica"
"816","Rosaceae","Prunus virginiana"
"820","Scrophulariaceae","Castilleja septentrionalis"
"821","Asteraceae","Antennaria parvifolia"
"823","Asteraceae","Aster foliaceus"
"826","Asteraceae","Senecio atratus"
"828","Asteraceae","Senecio crassulus"
"830","Crassulaceae","Sedum integrifolium"
"831","Crassulaceae","Sedum stenopetalum"
"834","Onagraceae","Epilobium angustifolium"
"835","Cyperaceae","Carex atrata"
"840","Cyperaceae","Carex luzulina"
"841","Asteraceae","Agoseris glauca"
"844","Asteraceae","Achillea lanulosa"
"848","Asteraceae","Machaeranthera coloradoensis"
"850","Onagraceae","Epilobium subdentatum"
"851","Fabaceae","Oxytropis deflexa var. foliolosa"
"853","Poaceae","Poa glauca"
"854","Cyperaceae","Carex foenea"
"856","Poaceae","Elymus scribneri"
"857","Caryophyllaceae","Arenaria biflora"
"863","Cyperaceae","Carex chalceolepis"
"864","Gentianaceae","Gentianella acuta"
"865","Polemoniaceae","Phlox sibirica ssp. pulvinata"
"867","Scrophulariaceae","Pedicularis scopulorum"
"868","Cyperaceae","Carex norvegica"
"870","Boraginaceae","Mertensia franciscana"
"872","Cyperaceae","Eriophorum russeolum"
"876","Asteraceae","Antennaria aromatica"
"885","Celastraceae","Pachistima myrsinites"
"888","Asteraceae","Senecio triangularis"
"899","Brassicaceae","Descurainia richardsonii"
"908","Ranunculaceae","Trollius albiflorus"
"913","Liliaceae","Allium rubrum"
"918","Violaceae","Viola adunca"
"920","Caryophyllaceae","Stellaria longipes"
"926","Fabaceae","Trifolium brandegei"
"928","Asteraceae","Senecio dimorphophylla"
"934","Caryophyllaceae","Silene acaulis ssp. acaulescens"
"939","Saxifragaceae","Ribes montigenum"
"943","Poaceae","Poa nemoralis"
"949","Asteraceae","Hymenoxys richardsonii"
"950","Asteraceae","Antennaria rosea"
"951","Asteraceae","Brickellia grandiflora"
"952","Betulaceae","Betula glandulosa"
"955","Caryophyllaceae","Arenaria congesta"
"957","Ericaceae","Pyrola asarifolia"
"958","Fabaceae","Astragalus decumbens"
"960","Hydrophyllaceae","Phacelia leucophylla"
"971","Saxifragaceae","Ribes wolfii"
"977","Urticaceae","Urtica dioica var. procera"
"988","Apiaceae","Oreoxis alpina"
"989","Boraginaceae","Eritrichium aretioides"
"990","Brassicaceae","Draba grayana"
"991","Brassicaceae","Draba streptocarpa"
"1003","Polemoniaceae","Phlox caespitosa ssp. pulvinata"
"1013","Saxifragaceae","Saxifraga chrysantha"
"1022","Violaceae","Viola nephrophylla"
"1031","Poaceae","Bromus carinatus"
"1032","Asteraceae","Aster engelmannii"
"1033","Rosaceae","Ivesia gordonii"
"1037","Ranunculaceae","Delphinium barbeyi"
"1039","Polemoniaceae","Ipomopsis aggregata"
"1044","Hydrophyllaceae","Phacelia hastata"
"1053","Asteraceae","Erigeron subtrinervus"
"1054","Caryophyllaceae","Arenaria fendleri"
"1055","Cyperaceae","Carex raynoldsii"
"1060","Asteraceae","Achillea lanulosa ssp. alpicola"
"1061","Asteraceae","Askellia nana"
"1062","Fumariaceae","Corydalis caseana ssp. brandegeei"
"1065","Valerianaceae","Valeriana edulis"
"1066","Valerianaceae","Valeriana acutiloba var. acutiloba"
"1069","Ranunculaceae","Anemone multifida var. multifida"
"1072","Plantaginaceae","Veronica wormskjoldii var. wormskjoldii"
"1073","Asteraceae","Arnica parryi ssp. parryi"
"1079","Orobanchaceae","Castilleja rhexiifolia"
"1086","Poaceae","Poa stenantha var. stenantha"
"1087","Polygonaceae","Polygonum douglasii"
"1099","Fabaceae","Oxytropis borealis var. viscida"
"1100","Asteraceae","Ericameria discoidea var. discoidea"
"1103","Boraginaceae","Phacelia heterophylla"
"1104","Scrophulariaceae","Pedicularis racemosa ssp. alba"
"1111","Asteraceae","Antennaria obovata"
"1116","Montiaceae","Claytonia megarhiza"
"1117","Ranunculaceae","Aconitum columbianum"
"1124","Cyperaceae","Carex incurviformis"
"1126","Cyperaceae","Eriophorum angustifolium"
"1131","Fabaceae","Trifolium salictorum"
"1133","Asteraceae","Symphyotrichum foliaceum var. parryi"
"1143","Poaceae","Agropyron trachycaulum"
"1145","Brassicaceae","Erysimum nivale"
"1148","Brassicaceae","Thlaspi alpestre"
"1149","Boraginaceae","Mertensia bakeri"
"1151","Polemoniaceae","Polemonium scopulinum"
"1152","Polemoniaceae","Gilia spicata"
"1155","Asteraceae","Hymenoxys acaulis"
"1158","Ranunculaceae","Clematis columbiana"
"1159","Polemoniaceae","Phlox pulvinata"
"1160","Plantaginaceae","Penstemon harbourii"
"1163","Crassulaceae","Sedum rosea"
"1170","Plantaginaceae","Penstemon rydbergii"
"1171","Boraginaceae","Phacelia sericea"
"1172","Asteraceae","Erigeron peregrinus"
"1176","Asteraceae","Erigeron compositus"
"1177","Asteraceae","Solidago spathulata"
"1192","Celastraceae","Parnassia fimbriata"
"1196","Orobanchaceae","Castilleja haydenii"
"1199","Plantaginaceae","Chionophila jamesii"
"1200","Orobanchaceae","Pedicularis groenlandica"
"1201","Caryophyllaceae","Eremogone congesta"
"1202","Plumbaginaceae","Armeria maritima var. labradorica"
"1203","Poaceae","Helictotrichon mortonianum"
"1207","Poaceae","Koeleria macrantha"
"1208","Gentianaceae","Gentianodes algida"
"1209","Asteraceae","Haplopappus lyallii"
"1211","Asteraceae","Haplopappus pygmaeus"
"1212","Poaceae","Pseudoroegneria spicata f. spicata"
"1214","Fabaceae","Artemisia scopulorum"
"1220","Cyperaceae","Kobresia myosuroides"
"1221","Cyperaceae","Kobresia bellardii"
"1223","Poaceae","Poa lettermanii"
"1227","Lycopodiaceae","Lycopodium selago"
"1229","Poaceae","Poa abbreviata ssp. abbreviata"
"1230","Poaceae","Avenula hookeri"
"1231","Cyperaceae","Carex nardina var. hepburnii"
"1232","Cyperaceae","Kobresia simpliciuscula"
"1236","Onagraceae","Chamerion angustifolium ssp. circumvagum"
"1237","Ranunculaceae","Aquilegia elegantula"
"1239","Gentianaceae","Gentianopsis detonsa"
"1241","Apiaceae","Cymopterus alpinus"
"1244","Gentianaceae","Gentianella amarella ssp. acuta"
"1246","Fabaceae","Trifolium hybridum"
"1247","Poaceae","Poa pratensis"
"1250","Poaceae","Poa nevadensis"
"1251","Poaceae","Deschampsia brevifolia"
"1257","Rosaceae","Potentilla ovina"
"1258","Rosaceae","Potentilla ovina var. decurrens"
"1260","Poaceae","Festuca rubra"
"1262","Caryophyllaceae","Paronychia pulvinata"
"1268","Gentianaceae","Gentiana amarella"
"1272","Poaceae","Achnatherum lettermanii"
"1276","Poaceae","Poa arctica ssp. arctica"
"1277","Grossulariaceae","Ribes montigenum"
"1281","Asteraceae","Cirsium eatonii"
"1286","Gentianaceae","Gentianopsis barbellata"
"1288","Selaginellaceae","Selaginella densa"
"1292","Asteraceae","Artemisia campestris"
"1299","Poaceae","Bromus inermis"
"1301","Rosaceae","Potentilla gracilis var. pulcherrima"
"1305","Asteraceae","Artemisia franserioides"
"1310","Caryophyllaceae","Silene Hitchguirei Boquet ssp. Montana"
"1311","Poaceae","Elymus elymoides ssp. brevifolius"
"1313","Brassicaceae","Draba crassa"
"1315","Pyrolaceae","Pyrola secunda"
"1321","Poaceae","Poa glauca ssp. glauca"
"1325","Poaceae","Poa abbreviata ssp. pattersonii"
"1327","Asteraceae","Saussurea weberi"
"1328","Cyperaceae","Carex microglochin"
"1330","Asteraceae","Artemisia ludoviciana ssp. incompta"
"1331","Poaceae","Anthoxanthum hirtum"
"1340","Asteraceae","Artemisia borealis"
"1342","Asteraceae","Antennaria microphylla"
"1343","Asteraceae","Hymenoxys acaulis var. depressa"
"1352","Asteraceae","Tetraneuris acaulis var. caespitosa"
"1353","Papaveraceae","Papaver radicatum ssp. kluanense"
"1356","Asteraceae","Townsendia leptotes"
"1361","Cyperaceae","Carex rupestris"
"1362","Asteraceae","Senecio canus"
"1364","Asteraceae","Solidago simplex var. simplex"
"1368","Brassicaceae","Draba fladnizensis"
"1372","Poaceae","Poa arctica ssp. grayana"
"1387","Asteraceae","Artemisia arctica ssp. saxicola"
"1390","Asteraceae","Artemisia spiciformis"
"1393","Rosaceae","Potentilla hookeriana"
"1395","Poaceae","Hierochloe hirta"
"1400","Poaceae","Bromus porteri"
"1402","Poaceae","Muhlenbergia richardsonis"
"1409","Poaceae","Poa scabrella"
"1410","Poaceae","Bromus richardsonii"
"1417","Poaceae","Poa cusickii ssp. pallida"
"1445","Poaceae","Poa abbreviata"
"1452","Poaceae","Poa wheeleri"
"1459","Poaceae","Calamagrostis scopulorum"
"1460","Asteraceae","Cirsium hesperium"
"1462","Fabaceae","Thermopsis rhombifolia"
